Index	NumberPSM	Gene	MaxPepProb	Protein	Protein ID	Entry Name	Protein Description	Organism	Indistinguishable Proteins	ReferenceIntensity	_126	_127N	_127C	_128N	_128C	_129N	_129C	_130N	_130C	_131N	_131C	_132N	_132C	_133N	_133C	_134N
P16930	3	FAH	0.9997	sp|P16930|FAAA_HUMAN	P16930	FAAA_HUMAN	Fumarylacetoacetase	Homo sapiens		23.120027045034476	22.733594875792722	22.95089169477803	22.5685245422486	22.372640751333464	22.286466904735427	21.368731438615576	23.073978128994728	22.064993879522074	23.425393331310033	23.405222479453403	22.97406671532883	24.0502956842111	NA	NA	22.91409712366269	22.518096796357764
P17174	1	GOT1	0.9729	sp|P17174|AATC_HUMAN	P17174	AATC_HUMAN	Aspartate aminotransferase, cytoplasmic	Homo sapiens		19.89904167267681	19.79939107055999	NA	20.02610635020712	NA	20.297899011862864	19.709523265731956	18.588659972505642	20.434419478658935	19.72465229593209	20.253764571762193	19.65910506731866	20.698457936092932	NA	NA	20.494347964558997	20.013388053812122
P17858	3	PFKL	1.0	sp|P17858|PFKAL_HUMAN	P17858	PFKAL_HUMAN	ATP-dependent 6-phosphofructokinase, liver type	Homo sapiens		21.745060554036545	22.27187034818696	21.077288346771038	22.07105439278739	20.812932137169586	21.00726499950999	21.832281632938017	22.015118115121414	21.148757501576327	21.57556369348502	21.38870199875777	22.487167693450246	22.813943753588948	NA	21.47666729717481	21.722118244419057	21.438087888600183
P17931	2	LGALS3	0.9924	sp|P17931|LEG3_HUMAN	P17931	LEG3_HUMAN	Galectin-3	Homo sapiens		20.195499846540066	20.263907111945315	20.587781266598387	20.6298825295955	20.70873883603839	20.569610929425625	20.099322081399688	20.388588811483796	20.916660872070064	20.02031231179069	20.41169401944009	20.07160037740658	20.005124973030913	NA	NA	19.935001573972066	19.85182894383416
P17936	11	IGFBP3	1.0	sp|P17936|IBP3_HUMAN	P17936	IBP3_HUMAN	Insulin-like growth factor-binding protein 3	Homo sapiens		26.34675783986661	26.076917807372237	27.218034898794564	25.994960699751616	26.91587889097642	26.67477385695539	26.3733053014107	26.537401218767123	26.790617580600895	27.023900433120673	26.954635140437098	25.76840259324838	26.04587439718378	26.35202711147875	NA	26.23232816109696	26.254415943011306
P17987	2	TCP1	0.9941	sp|P17987|TCPA_HUMAN	P17987	TCPA_HUMAN	T-complex protein 1 subunit alpha	Homo sapiens		21.178637369473087	21.335061457108853	20.45341014549252	21.034726666594093	20.365779261580283	20.697340092187595	21.376642192407488	20.398286267607553	20.902036398834227	20.432160121267323	20.44171890933848	22.668872201966842	20.42005702469766	NA	NA	21.267615272733597	20.923496638135738
P18085	1	ARF4	0.9899	sp|P18085|ARF4_HUMAN	P18085	ARF4_HUMAN	ADP-ribosylation factor 4	Homo sapiens		19.782706061571623	21.159603288561343	19.68900118798816	19.539149172017687	17.934704368555614	18.290552824606067	19.656178231037917	20.000401061844972	19.15346782470841	19.445564908253562	18.13472514419264	21.353466479710466	17.997290548236382	19.39641433894681	NA	19.532402261482932	19.825424848378447
P18206	27	VCL	1.0	sp|P18206|VINC_HUMAN	P18206	VINC_HUMAN	Vinculin	Homo sapiens		26.253294835650554	27.37184078904508	25.442316412378	26.09797554780787	24.102540625728395	24.55993983104521	26.43630902275444	26.159643905366533	24.87409349060499	25.670003936454556	24.486690008673705	27.936654061648657	24.034365610661567	26.25159404738338	24.434726031558913	26.189058480853134	26.203932419469034
P18428	4	LBP	0.9998	sp|P18428|LBP_HUMAN	P18428	LBP_HUMAN	Lipopolysaccharide-binding protein	Homo sapiens		22.192830417950084	22.150848166130203	23.527541688609986	21.628898752093686	22.912098598449685	21.434305093249115	22.343382504375963	22.353959471107146	22.808431407948177	22.512620011890746	22.38659130322643	21.687637321490154	21.971389932939196	NA	NA	22.216314209806534	22.198138599331198
P18669	4	PGAM1	1.0	sp|P18669|PGAM1_HUMAN	P18669	PGAM1_HUMAN	Phosphoglycerate mutase 1	Homo sapiens		21.716038164072415	22.290656943400833	22.465138739991055	21.286567618095066	21.616622463679544	21.097220848011013	21.337036876861514	21.539487032299718	22.732625048793672	21.59648722755906	20.783877137777843	22.560895737323307	21.781874034871038	20.17087021192909	NA	21.840046629348727	21.615856768656972
